Products & Services,,,,,,
Products,,,,,,
Name,Subitems,Price,Description,URL,SKU,Type
Social Media Advertising (Basic),,500,(1) Campaign + 1 AD. Graphic & Text Creation. Targeted Locations & Audience. Minimum Ad Budget: $500/mo,,,Service
Social Media Advertising (Aggressive),,1500,"(2) Campaigns + (up to 3) ADs. Targeted Locations & Audience. Minimum Ad Budget: $500/mo. Minimum Ad Budget: $1,500/mo",,,Service
BAM Plan (Build. Advance. Market.) - Starter,,3000,"100% Custom Website (10 Pages + 2 Contact Forms), Local Listings (Aggressive), SEO (Basic), Social Media Management (Basic), Social Media Advertising (Basic), Google Advertising (Basic)",,,Service
BAM Plan (Build. Advance. Market.) - Aggressive,,5000,"100% Custom Website (10 Pages + 2 Contact Forms), Local Listings (Aggressive), SEO (Aggressive), Social Media Management (Aggressive), Social Media Advertising (Aggressive), Google Advertising (Aggressive)",,,Service
Logo Design,,599,"Custom Logo Design - (1-3) Concepts, (up to 3 revisions), File Formats Include: JPG, PNG, EPS, PDF, AI",https://awebco.com/logos,,Product
Business Cards (250),,30,"16pt Card Stock, Matte or Glossy Finish, Double Sided, Full Color",,,Product
Business Cards (500),,45,"16pt Card Stock, Matte or Glossy Finish, Double Sided, Full Color",,,Product
Business Cards (1000),,56,"16pt Card Stock, Matte or Glossy Finish, Double Sided, Full Color",,,Product
Business Cards (2500),,105,"16pt Card Stock, Matte or Glossy Finish, Double Sided, Full Color",,,Product
Silk Business Cards (500),,110,"16pt Card Stock, Silk Finish, Double Sided, Full Color",,,Product
"Silk Business Cards (1,000)",,140,"16pt Card Stock, Silk Finish, Double Sided, Full Color",,,Product
Round Corners - Add On,,25,"1/4"" or 1/8"" Round Corners",,,Product
Spot UV  - Add On,,30,Spot Gloss Overlay,,,Product
Foil  - Add On,,75,"Foil Heat Stamping (Gold, Copper, Black, Blue, Rose Gold, Red, Silver)",,,Product
Stickers (500),,110,"3.5"" x 2"" - Indoor Stickers",,,Product
Round Stickers  (500),,430,"3"" x 3"" - Outdoor Vinyl Stickers",,,Product
Brochures - Tri-Fold (500),,285,"8.5"" x 11"" - 70lb Premium Opaque - Double Sided - Full Color",,,Product
"Brochures - Tri-Fold (1,000)",,320,"8.5"" x 11"" - 70lb Premium Opaque - Double Sided - Full Color",,,Product
Postcard (500),,120,"4"" x 6"" - 16pt Card Stock - Matte or Glossy Finish - Double Sided - Full Color",,,Product
"Postcard (1,000)",,140,"4"" x 6"" - 16pt Card Stock - Matte or Glossy Finish - Double Sided - Full Color",,,Product
Rack Cards - (500),,205,"4"" x 9"" -16pt Card Stock - Matte or Glossy Finish - Double Sided - Full Color",,,Product
"Rack Cards - (1,000)",,240,"4"" x 9"" -16pt Card Stock - Matte or Glossy Finish - Double Sided - Full Color",,,Product
Banner - (2' x 6'),,65,2' x 6' - Outdoor Banner - Hems All Sides - Grommets every 2ft - Single Sided,,,Product
Banner - (3' x 6'),,80,3' x 6' - Outdoor Banner - Hems All Sides - Grommets every 2ft - Single Sided,,,Product
Banner - (5' x 5'),,175,5' x 5' - Outdoor Banner - Hems All Sides - Grommets every 2ft - Single Sided,,,Product
Yard Sign (5),,115,"24"" x 24"" Coroplast 4MM - Double Sided - Includes H-Stakes",,,Product
Letterhead (500),,215,"8.5"" x 11"" - Premium Paper",,,
"Letterhead (1,000)",,285,"8.5"" x 11"" - Premium Paper",,,
Envelopes (500),,230,No Window,,,
"Envelopes (1,000)",,285,No Window,,,
Retractable Deluxe Banner Stand,,300,"33"" x 80"" - Indoor Banner",,,Product
Magnets - (500),,210,"3.5"" x 2"" - Business Card Size - UV Coating",,,Product
Door Hangers (500),,270,"3.5"" x 8.5"" - 16pt Card Stock - Matte or Glossy Finish - Double Sided - Full Color",,,Product
Email Setup (Google or Outlook),,150,Email Account Setup (Admin Access),,,Service
Email Account Setup,,25,Individual Email Account Setup,,,Service
Search Functionality,,500,Site wide search functionality (Search Results Page),,,Service
Google Calendar Integration,,250,Google Calendar Embed or Integration with Calendar Plugin,,,Service
Payment Integration (Forms),,500,Square or Paypal Integration with Contact Forms,,,Service
Directory Listings,,1500,"Business, Members or Location Listings",,,Service
Members Area,,1500,"Private Members Area (Pages, User Accounts)",,,Service
ADA Tools,,100,Interactive ADA Tools,,,Service
ADA Compliance (Per Page),,200,"ADA Compliance Optimization per Page (Colors, Fonts)",,,Service
Social Media Feed,,500,Facebook or Instagram Feed,,,Service
CRM Integration,,500,Active Campaign or Hubspot,,,Service
,,33012,,,,
